ProductId,ProductName,Price,Quantity,CategoryId,CategoryName,ImageId,ImageUrl
20093,Mini sac à chaîne noir,84618.00,8,25,Sacs à main,30129,https://res.cloudinary.com/czvgnteb/image/upload/v1786436661/class-shoes/products/whatsappimage20260413at154206.jpg
20093,Mini sac à chaîne noir,84618.00,8,25,Sacs à main,30130,https://res.cloudinary.com/czvgnteb/image/upload/v1786436662/class-shoes/products/whatsappimage20260413at1542001.jpg
20093,Mini sac à chaîne noir,84618.00,8,25,Sacs à main,30131,https://res.cloudinary.com/czvgnteb/image/upload/v1786436663/class-shoes/products/whatsappimage20260413at154203.jpg
20093,Mini sac à chaîne noir,84618.00,8,25,Sacs à main,30132,https://res.cloudinary.com/czvgnteb/image/upload/v1786436664/class-shoes/products/whatsappimage20260413at154205.jpg
20094,Cabas cuir grainé ivoire,123976.00,6,26,Cabas,30133,https://res.cloudinary.com/czvgnteb/image/upload/v1786436664/class-shoes/products/whatsappimage20260413at1542181.jpg
20094,Cabas cuir grainé ivoire,123976.00,6,26,Cabas,30134,https://res.cloudinary.com/czvgnteb/image/upload/v1786436666/class-shoes/products/whatsappimage20260413at154216.jpg
20094,Cabas cuir grainé ivoire,123976.00,6,26,Cabas,30135,https://res.cloudinary.com/czvgnteb/image/upload/v1786436667/class-shoes/products/whatsappimage20260413at154229.jpg
20095,Sac bandoulière rouge,104297.00,3,27,Sacs bandoulière,30136,https://res.cloudinary.com/czvgnteb/image/upload/v1786436667/class-shoes/products/whatsappimage20260413at154200.jpg
20095,Sac bandoulière rouge,104297.00,3,27,Sacs bandoulière,30137,https://res.cloudinary.com/czvgnteb/image/upload/v1786436670/class-shoes/products/whatsappimage20260413at154219.jpg
20095,Sac bandoulière rouge,104297.00,3,27,Sacs bandoulière,30138,https://res.cloudinary.com/czvgnteb/image/upload/v1786436670/class-shoes/products/whatsappimage20260413at154227.jpg
20095,Sac bandoulière rouge,104297.00,3,27,Sacs bandoulière,30139,https://res.cloudinary.com/czvgnteb/image/upload/v1786436671/class-shoes/products/whatsappimage20260413at1542292.jpg
20096,Tote structuré beige,144311.00,11,26,Cabas,30140,https://res.cloudinary.com/czvgnteb/image/upload/v1786436672/class-shoes/products/whatsappimage20260413at1542291.jpg
20096,Tote structuré beige,144311.00,11,26,Cabas,30141,https://res.cloudinary.com/czvgnteb/image/upload/v1786436673/class-shoes/products/whatsappimage20260413at154215.jpg
20096,Tote structuré beige,144311.00,11,26,Cabas,30142,https://res.cloudinary.com/czvgnteb/image/upload/v1786436674/class-shoes/products/whatsappimage20260413at154218.jpg
20096,Tote structuré beige,144311.00,11,26,Cabas,30143,https://res.cloudinary.com/czvgnteb/image/upload/v1786436675/class-shoes/products/whatsappimage20260413at154158.jpg
20096,Tote structuré beige,144311.00,11,26,Cabas,30144,https://res.cloudinary.com/czvgnteb/image/upload/v1786436676/class-shoes/products/whatsappimage20260413at154210.jpg
20097,Sac seau camel,114792.00,5,25,Sacs à main,30145,https://res.cloudinary.com/czvgnteb/image/upload/v1786436677/class-shoes/products/whatsappimage20260413at154212.jpg
20097,Sac seau camel,114792.00,5,25,Sacs à main,30146,https://res.cloudinary.com/czvgnteb/image/upload/v1786436677/class-shoes/products/whatsappimage20260413at154208.jpg
20097,Sac seau camel,114792.00,5,25,Sacs à main,30147,https://res.cloudinary.com/czvgnteb/image/upload/v1786436678/class-shoes/products/whatsappimage20260413at1542071.jpg
20098,Pochette rose poudré,64940.00,12,25,Sacs à main,30148,https://res.cloudinary.com/czvgnteb/image/upload/v1786436679/class-shoes/products/whatsappimage20260413at154207.jpg
20098,Pochette rose poudré,64940.00,12,25,Sacs à main,30149,https://res.cloudinary.com/czvgnteb/image/upload/v1786436680/class-shoes/products/whatsappimage20260413at154209.jpg
